Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
  104    12.4    30.0    16.1    0.00    0.00    0.00    0.00    0.00    3.24    2.99    0.03  232.80   1.606   1.000   1.000
  105    20.0    27.2    18.9    5.80    0.00    0.00    5.80    0.00    5.16    4.68    0.05  233.88   1.613   1.000   1.000
  106    21.9    25.6    11.1    0.00    0.00    0.00    0.00    0.00    5.22    4.76    0.05  229.07   1.580   1.000   1.000
  107    15.8    23.3     9.4    0.00    0.00    0.00    0.00    0.00    3.61    3.18    0.03  225.85   1.558   1.000   1.000
  108    20.0    25.0    13.9    0.00    0.00    0.00    0.00    0.00    4.84    4.18    0.04  221.63   1.529   1.000   1.000
  109    25.7    27.2     9.4    0.00    0.00    0.00    0.00    0.00    6.16    5.15    0.06  216.43   1.493   1.000   1.000
  110    22.9    29.4    11.7    0.00    0.00    0.00    0.00    0.00    5.74    4.61    0.05  211.76   1.460   1.000   1.000
  111    22.8    31.7    13.9    0.00    0.00    0.00    0.00    0.00    5.97    4.62    0.05  207.08   1.428   1.000   1.000
  112    23.8    33.9    15.6    0.00    0.00    0.00    0.00    0.00    6.46    4.82    0.06  202.21   1.395   0.963   1.000
  113    17.7    33.9    17.2    0.00    0.00    0.00    0.00    0.00    4.86    3.48    0.04  198.68   1.370   0.934   1.000
  114    26.0    30.6    16.1    0.00    0.00    0.00    0.00    0.00    6.83    4.74    0.06  193.89   1.337   0.894   1.000
  115    26.0    30.0    12.2    0.00    0.00    0.00    0.00    0.00    6.59    4.37    0.05  189.46   1.307   0.857   1.000
  116    24.8    25.0    12.8    0.00    0.00    0.00    0.00    0.00    5.95    3.79    0.05  185.63   1.280   0.824   1.000
  117    25.6    27.8     9.4    0.00    0.00    0.00    0.00    0.00    6.18    3.79    0.05  181.79   1.254   0.792   1.000
  118    25.8    30.0    12.2    0.00    0.00    0.00    0.00    0.00    6.54    3.85    0.05  177.90   1.227   0.760   1.000
  119    27.1    30.0    13.3    0.00    0.00    0.00    0.00    0.00    6.92    3.91    0.05  173.94   1.200   0.727   1.000
  120    25.7    32.2     8.9    0.00    0.00    0.00    0.00    0.00    6.51    3.52    0.04  170.38   1.175   0.697   1.000
  121    25.9    32.2    11.7    0.00    0.00    0.00    0.00    0.00    6.70    3.47    0.04  166.87   1.151   0.668   1.000
  122    26.8    31.7    12.8    0.00    0.00    0.00    0.00    0.00    6.95    3.45    0.04  163.37   1.127   0.638   1.000
  123    23.9    32.8    14.4    0.00    0.00    0.00    0.00    0.00    6.35    3.01    0.04  160.32   1.106   0.613   1.000
  124    22.4    32.2    17.2    0.00    0.00    0.00    0.00    0.00    6.04    2.75    0.03  157.54   1.086   0.590   1.000
  125    15.9    32.2    17.2    0.00    0.00    0.00    0.00    0.00    4.29    1.88    0.02  155.64   1.073   0.574   1.000
  126    17.4    27.2    16.7    0.00    0.00    0.00    0.00    0.00    4.42    1.88    0.02  153.73   1.060   0.558   1.000
  127    22.1    30.0    15.0    0.00    0.00    0.00    0.00    0.00    5.72    2.37    0.03  151.33   1.044   0.538   1.000
